,bpm,time
0,54.0,1686172313000000000
1,54.7480697631836,1686172651000000000
2,55.0,1686172678000000000
3,53.0,1686172766000000000
4,61.0,1686172871000000000
5,56.0,1686172876000000000
6,55.0,1686172881000000000
7,54.0,1686172886000000000
8,53.0,1686172888000000000
9,53.0,1686172896000000000
10,53.0,1686172897000000000
11,53.0,1686172906000000000
12,53.0,1686172908000000000
13,55.0,1686173087000000000
14,54.0,1686173362000000000
15,56.0,1686173783000000000
16,54.0,1686173928000000000
17,53.0,1686174268000000000
18,79.0,1686174363000000000
19,57.0,1686174369000000000
20,55.0,1686174374000000000
21,53.0,1686174379000000000
22,52.0,1686174384000000000
23,53.0,1686174389000000000
24,55.0,1686174451000000000
25,57.0,1686174456000000000
26,56.0,1686174458000000000
27,52.0,1686174466000000000
28,52.0,1686174471000000000
29,52.0,1686174476000000000
30,52.0,1686174479000000000
31,52.0,1686174485000000000
32,55.0,1686174490000000000
33,56.0,1686174493000000000
34,58.0,1686174497000000000
35,71.0,1686174506000000000
36,74.0,1686174511000000000
37,73.0,1686174514000000000
38,68.0,1686174521000000000
39,66.0,1686174523000000000
40,61.0,1686174531000000000
41,56.0,1686174568000000000
42,57.0,1686174573000000000
43,55.0,1686174577000000000
44,53.0,1686174583000000000
45,53.0,1686174585000000000
46,51.0,1686174593000000000
47,52.0,1686174597000000000
48,52.0,1686174600000000000
49,53.0,1686174607000000000
50,53.0,1686174611000000000
51,52.0,1686174615000000000
52,53.0,1686174619000000000
53,54.0,1686174628000000000
54,55.0,1686174632000000000
55,55.0,1686174635000000000
56,54.0,1686174785000000000
57,52.0,1686174862000000000
58,53.0,1686175112000000000
59,53.0,1686175412000000000
60,51.0,1686175723000000000
61,48.0,1686176028000000000
62,49.0,1686176323000000000
63,52.0,1686176613000000000
64,53.0,1686176933000000000
65,53.0,1686177263000000000
66,54.0,1686177563000000000
67,53.0,1686177818000000000
68,54.0,1686178128000000000
69,53.0,1686178443000000000
70,52.0,1686178718000000000
71,50.0,1686179223000000000
72,48.0,1686179313000000000
73,48.0,1686179618000000000
74,49.0,1686179973000000000
75,49.0,1686180228000000000
76,49.0,1686180528000000000
77,48.0,1686180818000000000
78,50.0,1686181128000000000
79,52.0,1686181418000000000
80,50.0,1686181901000000000
81,52.0,1686182034000000000
82,54.0,1686182383000000000
83,52.0,1686182613000000000
84,52.0,1686182968000000000
85,53.0,1686183253000000000
86,53.0,1686183583000000000
87,51.0,1686183837000000000
88,51.0,1686184163000000000
89,52.0,1686184428000000000
90,52.0,1686184758000000000
91,52.0,1686185034000000000
92,53.0,1686185313000000000
93,53.0,1686185631000000000
94,52.0,1686185957000000000
95,53.0,1686186214000000000
96,54.3775444030762,1686186489000000000
97,54.0,1686186509000000000
98,53.0,1686186814000000000
99,52.0,1686187124000000000
100,54.0,1686187421000000000
101,53.0,1686187781000000000
102,54.0,1686188031000000000
103,54.0,1686188331000000000
104,55.0,1686188626000000000
105,55.0,1686188956000000000
106,56.0,1686189226000000000
107,57.0,1686189561000000000
108,57.0,1686189869000000000
109,52.0,1686190251000000000
110,54.0,1686190446000000000
111,53.0,1686190747000000000
112,54.0,1686191031000000000
113,53.0,1686191356000000000
114,53.0,1686191640000000000
115,54.0,1686191916000000000
116,54.0,1686192215000000000
117,56.0,1686192511000000000
118,55.0,1686192816000000000
119,55.0,1686193111000000000
120,53.0,1686193422000000000
121,54.0,1686193732000000000
122,53.0,1686194012000000000
123,53.0,1686194481000000000
124,54.0,1686194633000000000
125,54.0,1686195023000000000
126,54.0,1686195327000000000
127,56.0,1686195741000000000
128,54.0,1686195856000000000
129,53.0,1686196141000000000
130,55.0,1686196476000000000
131,54.0,1686196723000000000
132,53.0,1686197091000000000
133,52.0,1686197330000000000
134,52.0,1686197616000000000
135,54.0,1686197921000000000
136,54.0,1686198211000000000
137,50.0,1686198603000000000
138,51.0,1686198818000000000
139,52.0,1686199123000000000
140,51.0,1686199493000000000
141,50.0,1686199728000000000
142,51.0,1686200053000000000
143,50.0,1686200380000000000
144,49.0,1686200649000000000
145,52.9186897277832,1686200886000000000
146,50.0,1686200971000000000
147,50.0,1686201232000000000
148,52.0,1686201716000000000
149,59.0,1686201887000000000
150,73.0,1686204632000000000
151,77.0,1686204647000000000
152,79.0,1686204652000000000
153,79.0,1686204653000000000
154,84.0,1686204658000000000
155,93.0,1686204663000000000
156,86.0,1686204672000000000
157,83.0,1686204674000000000
158,84.0,1686204678000000000
159,82.0,1686204687000000000
160,82.0,1686204690000000000
161,84.0,1686204695000000000
162,86.0,1686204698000000000
163,93.0,1686204707000000000
164,96.0,1686204712000000000
165,96.0,1686204713000000000
166,97.0,1686204718000000000
167,99.0,1686204724000000000
168,95.0,1686204732000000000
169,94.0,1686204734000000000
170,95.0,1686204738000000000
171,98.0,1686204743000000000
172,99.0,1686204749000000000
173,97.0,1686204756000000000
174,97.0,1686204758000000000
175,96.0,1686204765000000000
176,99.0,1686204772000000000
177,97.0,1686204775000000000
178,98.0,1686204780000000000
179,96.0,1686204786000000000
180,98.0,1686204788000000000
181,97.0,1686204795000000000
182,99.0,1686204798000000000
183,97.0,1686204804000000000
184,94.0,1686204810000000000
185,93.0,1686204814000000000
186,95.0,1686204818000000000
187,95.0,1686204824000000000
188,95.0,1686204828000000000
189,95.0,1686204833000000000
190,95.0,1686204838000000000
191,96.0,1686204844000000000
192,97.0,1686204851000000000
193,95.0,1686204857000000000
194,94.0,1686204861000000000
195,94.0,1686204863000000000
196,94.0,1686204872000000000
197,94.0,1686204874000000000
198,94.0,1686204878000000000
