startDate,endDate,value
2023-06-09 08:44:43 +0000,2023-06-09 08:44:43 +0000,54
2023-06-09 08:49:08 +0000,2023-06-09 08:49:08 +0000,67
2023-06-09 08:57:38 +0000,2023-06-09 08:57:38 +0000,55
2023-06-09 09:02:28 +0000,2023-06-09 09:02:28 +0000,59
2023-06-09 09:07:03 +0000,2023-06-09 09:07:03 +0000,53
2023-06-09 09:09:37 +0000,2023-06-09 09:09:37 +0000,61
2023-06-09 09:14:49 +0000,2023-06-09 09:14:49 +0000,54
2023-06-09 09:22:37 +0000,2023-06-09 09:22:37 +0000,89
2023-06-09 09:26:55 +0000,2023-06-09 09:26:55 +0000,73
2023-06-09 09:32:54 +0000,2023-06-09 09:32:54 +0000,49
2023-06-09 09:36:34 +0000,2023-06-09 09:36:34 +0000,57
2023-06-09 09:42:07 +0000,2023-06-09 09:42:07 +0000,56
2023-06-09 09:45:14 +0000,2023-06-09 09:45:14 +0000,62
2023-06-09 09:52:15 +0000,2023-06-09 09:52:15 +0000,59
2023-06-09 09:57:54 +0000,2023-06-09 09:57:54 +0000,57
2023-06-09 10:02:54 +0000,2023-06-09 10:02:54 +0000,55
2023-06-09 10:08:10 +0000,2023-06-09 10:08:10 +0000,53
2023-06-09 10:11:17 +0000,2023-06-09 10:11:17 +0000,67
2023-06-09 10:16:26 +0000,2023-06-09 10:16:26 +0000,69
2023-06-09 10:17:23 +0000,2023-06-09 10:17:23 +0000,58
2023-06-09 10:21:17 +0000,2023-06-09 10:21:17 +0000,60
2023-06-09 10:26:33 +0000,2023-06-09 10:26:33 +0000,52
2023-06-09 10:31:15 +0000,2023-06-09 10:31:15 +0000,125
2023-06-09 10:31:29 +0000,2023-06-09 10:31:29 +0000,93
2023-06-09 10:31:36 +0000,2023-06-09 10:31:36 +0000,91
2023-06-09 10:31:40 +0000,2023-06-09 10:31:40 +0000,91
2023-06-09 10:31:44 +0000,2023-06-09 10:31:44 +0000,92
2023-06-09 10:31:47 +0000,2023-06-09 10:31:47 +0000,92
2023-06-09 10:31:56 +0000,2023-06-09 10:31:56 +0000,87
2023-06-09 10:31:58 +0000,2023-06-09 10:31:58 +0000,87
2023-06-09 10:32:05 +0000,2023-06-09 10:32:05 +0000,88
2023-06-09 10:32:11 +0000,2023-06-09 10:32:11 +0000,87
2023-06-09 10:32:13 +0000,2023-06-09 10:32:13 +0000,87
2023-06-09 10:32:17 +0000,2023-06-09 10:32:17 +0000,88
2023-06-09 10:32:25 +0000,2023-06-09 10:32:25 +0000,88
2023-06-09 10:32:32 +0000,2023-06-09 10:32:32 +0000,88
2023-06-09 10:32:33 +0000,2023-06-09 10:32:33 +0000,89
2023-06-09 10:32:38 +0000,2023-06-09 10:32:38 +0000,89
2023-06-09 10:32:43 +0000,2023-06-09 10:32:43 +0000,89
2023-06-09 10:32:52 +0000,2023-06-09 10:32:52 +0000,89
2023-06-09 10:32:53 +0000,2023-06-09 10:32:53 +0000,89
2023-06-09 10:33:02 +0000,2023-06-09 10:33:02 +0000,89
2023-06-09 10:33:07 +0000,2023-06-09 10:33:07 +0000,89
2023-06-09 10:33:10 +0000,2023-06-09 10:33:10 +0000,89
2023-06-09 10:33:16 +0000,2023-06-09 10:33:16 +0000,89
2023-06-09 10:33:21 +0000,2023-06-09 10:33:21 +0000,86
2023-06-09 10:33:27 +0000,2023-06-09 10:33:27 +0000,86
2023-06-09 10:33:28 +0000,2023-06-09 10:33:28 +0000,86
2023-06-09 10:33:34 +0000,2023-06-09 10:33:34 +0000,87
2023-06-09 10:33:38 +0000,2023-06-09 10:33:38 +0000,91
2023-06-09 10:33:47 +0000,2023-06-09 10:33:47 +0000,91
2023-06-09 10:33:49 +0000,2023-06-09 10:33:49 +0000,91
2023-06-09 10:37:43 +0000,2023-06-09 10:37:43 +0000,77
2023-06-09 10:42:25 +0000,2023-06-09 10:42:25 +0000,72
2023-06-09 10:47:18 +0000,2023-06-09 10:47:18 +0000,56
2023-06-09 10:48:53 +0000,2023-06-09 10:48:53 +0000,66
2023-06-09 10:53:35 +0000,2023-06-09 10:53:35 +0000,59
2023-06-09 11:01:37 +0000,2023-06-09 11:01:37 +0000,80
2023-06-09 11:05:37 +0000,2023-06-09 11:05:37 +0000,66
2023-06-09 11:12:05 +0000,2023-06-09 11:12:05 +0000,70
2023-06-09 11:15:50 +0000,2023-06-09 11:15:50 +0000,72
2023-06-09 11:20:01 +0000,2023-06-09 11:20:01 +0000,67
2023-06-09 11:24:38 +0000,2023-06-09 11:24:38 +0000,67
2023-06-09 11:28:38 +0000,2023-06-09 11:28:38 +0000,77
2023-06-09 11:33:07 +0000,2023-06-09 11:33:07 +0000,91
2023-06-09 11:35:49 +0000,2023-06-09 11:35:49 +0000,68
2023-06-09 11:36:10 +0000,2023-06-09 11:36:10 +0000,83
2023-06-09 11:40:42 +0000,2023-06-09 11:40:42 +0000,65
2023-06-09 11:45:51 +0000,2023-06-09 11:45:51 +0000,65
2023-06-09 11:52:51 +0000,2023-06-09 11:52:51 +0000,104
2023-06-09 11:54:58 +0000,2023-06-09 11:54:58 +0000,68
2023-06-09 11:59:10 +0000,2023-06-09 11:59:10 +0000,67
2023-06-09 12:05:41 +0000,2023-06-09 12:05:41 +0000,71
2023-06-09 12:10:01 +0000,2023-06-09 12:10:01 +0000,83
2023-06-09 12:12:39 +0000,2023-06-09 12:12:39 +0000,66
2023-06-09 12:16:02 +0000,2023-06-09 12:16:02 +0000,65
2023-06-09 12:20:34 +0000,2023-06-09 12:20:34 +0000,67
2023-06-09 12:26:07 +0000,2023-06-09 12:26:07 +0000,68
2023-06-09 12:32:31 +0000,2023-06-09 12:32:31 +0000,66
2023-06-09 12:33:52 +0000,2023-06-09 12:33:52 +0000,68
2023-06-09 12:39:25 +0000,2023-06-09 12:39:25 +0000,62
2023-06-09 12:47:20 +0000,2023-06-09 12:47:20 +0000,63
2023-06-09 12:50:52 +0000,2023-06-09 12:50:52 +0000,60
2023-06-09 12:57:01 +0000,2023-06-09 12:57:01 +0000,60
2023-06-09 13:01:43 +0000,2023-06-09 13:01:43 +0000,67
2023-06-09 13:07:23 +0000,2023-06-09 13:07:23 +0000,61
2023-06-09 13:12:18 +0000,2023-06-09 13:12:18 +0000,60
2023-06-09 13:12:31 +0000,2023-06-09 13:12:31 +0000,62.4601020812988
2023-06-09 13:16:21 +0000,2023-06-09 13:16:21 +0000,58
2023-06-09 13:23:13 +0000,2023-06-09 13:23:13 +0000,65
2023-06-09 13:24:28 +0000,2023-06-09 13:24:28 +0000,61
2023-06-09 13:32:08 +0000,2023-06-09 13:32:08 +0000,66
2023-06-09 13:33:47 +0000,2023-06-09 13:33:47 +0000,56
2023-06-09 13:38:56 +0000,2023-06-09 13:38:56 +0000,63
2023-06-09 13:44:55 +0000,2023-06-09 13:44:55 +0000,61
2023-06-09 13:51:14 +0000,2023-06-09 13:51:14 +0000,75
2023-06-09 13:53:52 +0000,2023-06-09 13:53:52 +0000,61
2023-06-09 14:01:12 +0000,2023-06-09 14:01:12 +0000,97
2023-06-09 14:03:16 +0000,2023-06-09 14:03:16 +0000,61
2023-06-09 14:06:26 +0000,2023-06-09 14:06:26 +0000,61
2023-06-09 14:09:18 +0000,2023-06-09 14:09:18 +0000,65
2023-06-09 14:18:07 +0000,2023-06-09 14:18:07 +0000,60
2023-06-09 14:23:00 +0000,2023-06-09 14:23:00 +0000,69
2023-06-09 14:25:53 +0000,2023-06-09 14:25:53 +0000,74
2023-06-09 14:31:35 +0000,2023-06-09 14:31:35 +0000,66
2023-06-09 14:35:50 +0000,2023-06-09 14:35:50 +0000,62
2023-06-09 14:40:54 +0000,2023-06-09 14:40:54 +0000,75
2023-06-09 14:47:00 +0000,2023-06-09 14:47:00 +0000,67
2023-06-09 14:52:27 +0000,2023-06-09 14:52:27 +0000,65
2023-06-09 14:53:56 +0000,2023-06-09 14:53:56 +0000,67
2023-06-09 15:01:12 +0000,2023-06-09 15:01:12 +0000,69
2023-06-09 15:06:51 +0000,2023-06-09 15:06:51 +0000,64
2023-06-09 15:09:39 +0000,2023-06-09 15:09:39 +0000,61
2023-06-09 15:16:54 +0000,2023-06-09 15:16:54 +0000,69
