,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,pca_1,pca_2,pca_3,pca_4
2023-06-10 09:18:01.078849500,0.07669027732775308,-0.40117260440462976,-0.9031553710579031,0.03580239300733655,0.05490751167822799,0.01799155000036587,82.0,0.24,0,0,0,0,0,-105.69570811845244,-61.086151188773385,-254.08389048155541,0.6473430008374206,0.03843214199670904,-0.15760368527445517,0.011235386351263615
2023-06-10 09:18:01.578849500,0.07364285512011935,-0.4501064595579726,-0.88225036899891,0.055732823075316164,0.029956748959709897,0.028601751482823175,82.0,0.24,0,0,0,0,0,-105.49211227933638,-62.74239492217552,-252.36112283213245,0.6575644651533072,0.04832117558795932,-0.14161915375331233,0.033916051067248515
2023-06-10 09:18:02.078849500,0.08018376269222288,-0.47043253447962946,-0.8801008897192842,0.02856162208064532,-0.00391858057238124,0.018484952639577217,81.5,0.24,0,0,0,0,0,-105.48821142664465,-63.608722141303986,-251.81375345577376,0.6641780428541189,0.054162056745488504,-0.13675697791189248,0.043585808301021184
2023-06-10 09:18:02.578849500,0.08199897163468933,-0.45815456988811015,-0.8935573648631125,-0.022636432047020965,-0.03910112284193315,-0.005211701070794502,81.0,0.24,0,0,0,0,0,-105.88576168610336,-63.50086913260523,-252.51503095750235,0.6658249840658184,0.05099050603926941,-0.1403303993486347,0.037175119632938125
2023-06-10 09:18:03.078849500,0.060237854060556935,-0.43731100123034117,-0.9033722212770103,-0.030353616369023895,-0.05183113531382742,-0.01708896687729877,80.5,0.12,1,0,0,0,0,-106.6442314126807,-62.939380063312385,-253.43646037688967,0.6670066193369788,0.030437377591496492,-0.14816587398383552,0.031709579453007064
2023-06-10 09:18:03.578849500,0.027378772119004573,-0.4371986167515408,-0.8980397258260043,0.024199000796250245,-0.02654289016356292,-0.00716262395571739,80.0,0.0,1,0,0,0,0,-107.29684865043852,-62.69825120955935,-253.54979105809744,0.6697881584828931,0.01086989347854564,-0.14769721840679528,0.03395954849401883
2023-06-10 09:18:04.078849500,0.020392992300587155,-0.4640549916314407,-0.8842956990949635,0.07917530272432932,0.015828258119892198,0.003371293903348448,79.5,0.0,1,0,0,0,0,-107.33853756841603,-63.203467273037646,-252.81211771411822,0.6743085479684625,0.01288346514934937,-0.13878875027344872,0.0430255272946265
2023-06-10 09:18:04.578849500,0.049570276680386195,-0.49655247309298683,-0.8732274080509158,0.07152538618686398,0.027209204458577045,-0.008937479405055735,79.0,0.0,1,0,0,0,0,-106.91090304954378,-64.2615456482466,-252.0050830451539,0.6807710942176227,0.027117948883146503,-0.13633887283179916,0.05955646869789355
2023-06-10 09:18:05.078849500,0.07312824385951429,-0.5121164248959137,-0.8644655335680875,0.02322940883505425,-0.011261527600582603,-0.026929028040837785,78.5,0.0,1,0,0,0,0,-106.85357878278826,-65.31471593701777,-251.72002114963882,0.6854831100528725,0.03683219367635948,-0.1345428395894847,0.07062888233026493
2023-06-10 09:18:05.578849500,0.0457521768768372,-0.5147984986154436,-0.8507375064648223,0.00799672986909185,-0.04403398782450176,0.0021654437245678363,78.0,0.0,1,0,0,0,0,-107.77652902231563,-65.99587327113775,-251.71487261381222,0.68855258075271,0.02844707125646439,-0.12169956943114502,0.07139313654204157
2023-06-10 09:18:06.078849500,-0.009673412483343906,-0.5276516682585211,-0.8332100763483569,0.031043897033903676,0.023334259035341077,0.10125564580264053,77.5,0.0,1,0,0,0,0,-109.0768226557158,-66.43713753122094,-251.32119412457885,0.6931105407076785,0.0119471586879325,-0.09984681031032827,0.0708559984014045
2023-06-10 09:18:06.578849500,-0.0027441937675753295,-0.5519064007068222,-0.8217429105942289,-0.008617943995793608,0.2239424322306488,0.20947371864813652,77.0,0.0,1,0,0,0,0,-109.11619946783183,-66.90235411144634,-250.2538116526416,0.6955079580368492,0.015572031141652225,-0.09125467958667426,0.08184852266093529
2023-06-10 09:18:07.078849500,0.1360059932349209,-0.5416408729601677,-0.8175134653557424,-0.19211688417790718,0.4706836108196854,0.2202732382722899,76.5,0.0,1,0,0,0,0,-106.55484251676465,-67.0102958124918,-248.74969010023895,0.6775767990410092,0.05634690499927601,-0.12045510084025043,0.10536560860413804
2023-06-10 09:18:07.578849500,0.37506573551859196,-0.4349980621695941,-0.8040223976181362,-0.4350243738537567,0.6170382127819789,0.08984655533203154,76.0,0.0,1,0,0,0,0,-101.51159769716156,-65.49848622983623,-246.94687575801512,0.6153744126166094,0.11924373084166218,-0.19024508421570246,0.12723973336456998
2023-06-10 09:18:08.078849500,0.6053186678286377,-0.21871595133141825,-0.7628967171204676,-0.5279988787594582,0.5864603049012692,-0.1039756880852497,76.0,0.135,1,0,0,0,0,-95.39567712717411,-61.148546856132135,-244.45358298549718,0.49897913322117005,0.17987953267893209,-0.2691743711245783,0.12375107861337004
2023-06-10 09:18:08.578849500,0.7429578138320866,0.044644390012627724,-0.6952211113948604,-0.3509862745093248,0.4386424392549747,-0.23129524987063646,76.0,0.27,1,0,0,0,0,-89.71106597246093,-54.15282002391187,-240.7379655970692,0.3532018205823638,0.20946048614549392,-0.3370216529640444,0.10360923628682785
2023-06-10 09:18:09.078849500,0.7972502029562821,0.2630603464012808,-0.6192682291337002,-0.012695240392498858,0.30690180500726644,-0.23831342540651804,76.0,0.5900000000000001,1,0,0,0,0,-85.15005135071729,-46.38219857942821,-235.77154652246767,0.2121818462324803,0.23156854282089406,-0.367402627685463,0.07197103373183981
2023-06-10 09:18:09.578849500,0.8357788905029087,0.3884216949320687,-0.5476254896973358,0.2612445057768726,0.27649023687526614,-0.1888810363495329,76.0,0.91,1,0,0,0,0,-81.76925518126397,-40.02445456964073,-230.0041089507704,0.10318063151728174,0.25635803066679375,-0.37439410770694537,0.058461331302643416
2023-06-10 09:18:10.078849500,0.9007732780565236,0.4392845053635954,-0.47550353763572145,0.3569322089540622,0.325249468923865,-0.1757563851303088,76.0,0.91,1,0,0,0,0,-79.72156604067905,-35.93404855528,-223.75093635628934,0.02880484867931852,0.2698604731456613,-0.3846780037761231,0.08795302186820902
2023-06-10 09:18:10.578849500,0.9746903938661605,0.45735612999072617,-0.3954936335153587,0.33871972541804024,0.3689650341657457,-0.2145788457381377,76.0,0.91,1,0,0,0,0,-79.45902037503329,-33.40424647382957,-216.977822861148,-0.032297998582110826,0.2831058418041205,-0.3784814657192437,0.1317815709131142
2023-06-10 09:18:11.078849500,1.0186362149235386,0.45996737817743083,-0.31595835957517243,0.2982027292362456,0.3448344452879422,-0.24619846785200897,76.35714285714286,0.865,1,0,0,0,0,-81.08841445316388,-31.351693220803586,-209.9294156890058,-0.0841069972912557,0.28021849891767736,-0.3585648317510882,0.18019485536099264
2023-06-10 09:18:11.578849500,1.020519213765435,0.44531938685368494,-0.2562996624819763,0.21996829379824687,0.24660967146073592,-0.22727145854958308,76.71428571428571,0.82,1,0,0,0,0,-83.69904118815516,-29.324001026936386,-203.788805676533,-0.12045536671752757,0.265447009002492,-0.3301122165394915,0.21956581924881022
2023-06-10 09:18:12.078849500,0.9965607646959681,0.4288574278423809,-0.227537819207742,0.05178131074484883,0.10022354994804863,-0.17928486942841682,77.07142857142857,0.82,1,0,0,0,0,-85.6543432038854,-27.36657924675637,-200.3499008236787,-0.13936189921070535,0.2518173059078143,-0.3069342998813893,0.23655430252714882
2023-06-10 09:18:12.578849500,0.9622753974468754,0.4460959162388122,-0.22706631292031118,-0.14649371841800127,-0.06125398702205232,-0.1368730083980722,77.42857142857143,0.82,1,0,0,0,0,-85.79192375477528,-25.544111127296933,-200.82075905571006,-0.1476064075887739,0.2410463366412986,-0.3062622177725833,0.22457622134451516
2023-06-10 09:18:13.078849500,0.9221263958999248,0.5092566243781037,-0.2510963665945472,-0.22380171982181574,-0.1853487848077902,-0.08516944666067923,77.78571428571429,1.005,1,0,0,0,0,-84.35345831349069,-24.137287281837505,-204.83906337052582,-0.15363335764196556,0.24378604271987275,-0.3163632749445001,0.17275926727372728
2023-06-10 09:18:13.578849500,0.8862653769694522,0.579097863257908,-0.2982191411420616,-0.12274435401236991,-0.1922470617797177,0.008340730005794347,78.14285714285714,1.19,1,0,0,0,0,-82.62277749385794,-23.98537050868365,-210.46858178880098,-0.1466722950273409,0.24767523586917864,-0.33458779442480385,0.11111825027707066
2023-06-10 09:18:14.078849500,0.8782202422361152,0.6019398215360029,-0.3534872343617633,0.03725139850595211,-0.03222031546384245,0.10691344030700589,78.5,1.19,1,0,0,0,0,-81.6597563325108,-25.765681095086574,-215.0490482292099,-0.11830021418919762,0.2473062214860111,-0.3551856632220597,0.07951407693575081
2023-06-10 09:18:14.578849500,0.9133615804318661,0.5740234242115155,-0.3821500185020239,0.11218640665889633,0.22468466329012088,0.10385540027722998,78.85714285714286,1.19,1,0,0,0,0,-81.56980498034189,-28.637063689252606,-216.41780384829298,-0.08981336236021818,0.25980773506313376,-0.35884615173967366,0.08314997212141462
2023-06-10 09:18:15.078849500,0.9752589441717293,0.5499190424096584,-0.3584193801853042,0.10931842175508157,0.393611200277927,-0.051333220521102736,79.21428571428571,1.285,1,0,0,0,0,-82.05230958438001,-30.300874355973857,-214.08795555475183,-0.0943552151165456,0.2821199569013032,-0.34527833939904534,0.10681150140974405
2023-06-10 09:18:15.578849500,1.0246201812053233,0.5770421513530094,-0.3014093432975427,0.1298716006807592,0.3328350344442345,-0.24576653116091868,79.57142857142857,1.38,1,0,0,0,0,-83.26794855309006,-29.253521789222706,-209.76148766851156,-0.1377413218186889,0.2904586487396021,-0.33019954916635114,0.12994069902639888
2023-06-10 09:18:16.078849500,1.0338728101205261,0.6343668693593945,-0.264889096830369,0.16499457684846644,0.11301771984844579,-0.27685923987496913,79.92857142857143,1.455,1,0,0,0,0,-85.6003645851046,-26.94886220971474,-206.44874141408945,-0.1838396917350881,0.278018254183859,-0.3170945085904806,0.1347625903312139
2023-06-10 09:18:16.578849500,1.0086863985873478,0.6537024149738392,-0.279814810771088,0.06326347083900147,-0.0217584078053646,-0.061692039908286665,80.28571428571429,1.53,1,0,0,0,0,-88.49623632510162,-26.92944167158127,-206.40221067139123,-0.18451271239426253,0.26169030936601406,-0.2991536083705096,0.12388814426035002
2023-06-10 09:18:17.078849500,0.9761827804351099,0.6015404155343411,-0.31604823521577974,-0.2525048499536944,0.08785430118851899,0.2484907579780885,80.64285714285714,1.53,1,0,0,0,0,-90.192353553513,-31.221878003745235,-209.51630702749864,-0.1291096502526765,0.25849408164032356,-0.2787806827801157,0.11928650517074878
2023-06-10 09:18:17.578849500,0.9586193926723524,0.5242059045932354,-0.31462373899734053,-0.6207271364757904,0.31607520185828614,0.397178312011678,81.0,1.53,1,0,0,0,0,-89.30906777462332,-37.74308889152796,-213.81999524396784,-0.06262050550024946,0.2789465216292287,-0.26030451603228166,0.12406274063472743
2023-06-10 09:18:18.078849500,0.9603983981857432,0.5028986689991429,-0.2545516150944428,-0.7849022687789269,0.3711771883472746,0.26957442901990325,80.5,1.53,1,0,0,0,0,-86.71200213147642,-41.75775900557127,-217.60349821376172,-0.039017701728242454,0.30384378405450624,-0.25866939475374995,0.12607504673996875
2023-06-10 09:18:18.578849500,0.9723956487374003,0.5715514876571401,-0.17354057043177137,-0.6742466993905716,0.13099960382879555,-0.009274276650434864,80.0,1.53,1,0,0,0,0,-85.16346285877358,-40.12511394005053,-220.85836877409145,-0.0716331332331001,0.30674879873017324,-0.2791342384081764,0.1063992376673374
2023-06-10 09:18:19.078849500,0.9793519932299494,0.6885423661847051,-0.12212559010188435,-0.45198437520914353,-0.19555935002032573,-0.22331133810065118,79.83333333333333,0.985,1,0,0,0,0,-86.72131285930134,-34.06078026312576,-224.54253259510037,-0.11684795634650082,0.23974822467786716,-0.3445715676707323,0.09479374673023969
2023-06-10 09:18:19.578849500,0.9642646196310171,0.7840262201219317,-0.11396863935708972,-0.2859873105014462,-0.2908970133538965,-0.2770964607810544,79.66666666666667,0.44,1,0,0,0,0,-90.73856859366094,-27.75328131119612,-228.83563866770922,-0.14301078271198153,0.1539368088045753,-0.39980431552249424,0.07293664881403958
2023-06-10 09:18:20.078849500,0.9175925313732427,0.8206131869091678,-0.12983684347408475,-0.17399996235407703,-0.0835435402882374,-0.23097373964557252,79.5,0.22,1,0,0,0,0,-94.78140545266088,-24.49237313511126,-232.65733711548128,-0.14062466740479007,0.09338294565965048,-0.4135899335437649,0.04172832055603455
2023-06-10 09:18:20.578849500,0.8528816650165219,0.8051489826712301,-0.1541860737035436,-0.042795288859431395,0.18549100763203577,-0.156426276387418,79.33333333333333,0.0,1,0,0,0,0,-97.24920242095165,-24.29649209432304,-234.8983866164543,-0.11469989764072185,0.048485752911901596,-0.413735493914424,0.03152871362617986
2023-06-10 09:18:21.078849500,0.8116548541350139,0.7586984129649154,-0.18650112020600793,0.07849385756155426,0.2565927223634233,-0.033969230533514354,79.16666666666667,0.0,1,0,0,0,0,-98.48258355394542,-25.090012698385895,-235.59058074978296,-0.0864120142322623,0.037647708208948416,-0.4014820040255014,0.026453225916791917
2023-06-10 09:18:21.578849500,0.8393037066326848,0.6956685956178938,-0.2199526782082158,0.10044947406882798,0.14024689319019445,0.16144591444143738,79.0,0.0,1,0,0,0,0,-99.32331635632302,-25.565812633139316,-235.57426502425886,-0.061328778739776095,0.046672951203235516,-0.40148641958328657,0.03643871414139205
