,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:18:01.078849500,0.07679138,-0.40127808,-0.9032428,0.03657615,0.05468441,0.017378181,,,0,0,0,0,0,-105.70201999999999,-61.082809999999995,-254.07802999999998
2023-06-10 09:18:01.578849500,0.08993012,-0.45735595,-0.8873999,0.17919017,0.025216354,0.014548247,82.0,,0,0,0,0,0,-105.2493,-63.264359999999996,-252.13232000000002
2023-06-10 09:18:02.078849500,0.08779814,-0.47599638,-0.8762263000000001,-0.082166955,-0.03268166,0.0033715183,,,0,0,0,0,0,-105.31936999999999,-63.840088,-251.61412
2023-06-10 09:18:02.578849500,0.05739014,-0.44314238,-0.89603823,-0.011692863999999999,-0.03695325,0.003011352,,0.24,0,0,0,0,0,-106.40443400000001,-62.906909999999996,-253.18732999999997
2023-06-10 09:18:03.078849500,0.054653015,-0.43879396,-0.8989804,-0.022597635,0.009928232,0.029685175,,,1,0,0,0,0,-106.70456000000001,-62.747294999999994,-253.21352000000002
2023-06-10 09:18:03.578849500,0.053078163,-0.44379783,-0.8993365,0.091260806,-0.047381174000000005,-0.04930622,,0.0,1,0,0,0,0,-106.59183999999999,-63.03481,-253.04652000000002
2023-06-10 09:18:04.078849500,0.026192322,-0.47453338,-0.8876117,0.007885743,-0.034954313,-0.009853807,,,1,0,0,0,0,-107.4686,-63.578506000000004,-252.93563999999998
2023-06-10 09:18:04.578849500,0.029079895,-0.47890228,-0.87591094,0.052777834,0.04335905,0.0077565364,,0.0,1,0,0,0,0,-107.554375,-63.935253,-252.65517999999997
2023-06-10 09:18:05.078849500,0.05414192,-0.50370944,-0.86264724,0.051148698,-0.030051164,-0.027658667,,,1,0,0,0,0,-106.86447,-65.07630999999999,-251.72222999999997
2023-06-10 09:18:05.578849500,0.075188905,-0.54465485,-0.8260451999999999,0.08522164,0.12221471,0.02969943,,0.0,1,0,0,0,0,-106.94837,-66.31509399999999,-250.48715
2023-06-10 09:18:06.078849500,0.007944641,-0.5151508,-0.8634207,-0.10592841,-0.21568654,0.081570715,,,1,0,0,0,0,-109.13253,-65.97739399999999,-252.05652999999998
2023-06-10 09:18:06.578849500,-0.023742054,-0.521134,-0.85346484,0.095267564,0.389317,0.18581708,,0.0,1,0,0,0,0,-109.65579,-67.149315,-250.95825
2023-06-10 09:18:07.078849500,0.09585327,-0.6211905,-0.73179567,-0.21651964,0.26825118,0.14854982,,,1,0,0,0,0,-107.37833400000001,-68.54185,-247.91457000000003
2023-06-10 09:18:07.578849500,0.4198938,-0.32713684,-0.82313263,-0.5384909000000001,0.93024427,0.39390418,76.0,0.0,1,0,0,0,0,-100.022896,-63.106280000000005,-247.31238
2023-06-10 09:18:08.078849500,0.64667714,-0.29362178,-0.8911924000000001,-0.47040945,0.4370923,-0.5178419,,,1,0,0,0,0,-94.51274000000001,-60.037296,-243.85904
2023-06-10 09:18:08.578849500,0.6399222,0.049431458,-0.48828370000000004,0.19680871,0.2826308,0.1009357,,0.27,1,0,0,0,0,-92.88134000000001,-60.31621,-240.71233999999998
2023-06-10 09:18:09.078849500,0.87292325,0.26563537,-0.77835083,-1.5189725,0.41899955,-0.55735135,,,1,0,0,0,0,-83.0249,-39.409405,-237.5068
2023-06-10 09:18:09.578849500,0.8238644,0.45927304,-0.49739605,2.3066146,0.4576768,0.33391604,,0.91,1,0,0,0,0,-81.80865,-43.208946000000005,-228.65828
2023-06-10 09:18:10.078849500,0.8616968,0.32601532,-0.42805114,-1.5623143999999998,0.11888075,-0.93614197,,,1,0,0,0,0,-79.77938,-37.61777,-222.54301
2023-06-10 09:18:10.578849500,1.0473656999999998,0.51848847,-0.49981293,1.8985063999999998,0.36915654,0.6218909,76.0,0.91,1,0,0,0,0,-79.8909,-27.875173999999998,-218.74842999999998
2023-06-10 09:18:11.078849500,0.9274404,0.4808929,-0.19791116,-0.8264723,0.39339417,-1.0376905,,,1,0,0,0,0,-81.56347,-38.320477000000004,-209.40758
2023-06-10 09:18:11.578849500,1.1225308,0.37576598,-0.35705993,0.72822493,0.20314327,0.48020342,,0.82,1,0,0,0,0,-82.14952,-23.185278,-205.93294
2023-06-10 09:18:12.078849500,0.88418275,0.5156259,-0.16618499,0.048117764,0.39276782,-0.6381183000000001,,,1,0,0,0,0,-86.95398,-34.3341,-194.34903
2023-06-10 09:18:12.578849500,1.0855178,0.35861984,-0.24642259,-0.33196563,-0.7142659,-0.26786467,,0.82,1,0,0,0,0,-85.52547,-14.861714000000001,-207.40935
2023-06-10 09:18:13.078849500,0.7809808000000001,0.6025736,-0.2331839,0.28017867,0.7036583000000001,0.8234421999999999,,,1,0,0,0,0,-83.71853,-35.298621999999995,-201.37016
2023-06-10 09:18:13.578849500,1.028551,0.45861053,-0.34740478,-1.3285723,-1.2275232,-1.4132314,,1.19,1,0,0,0,0,-83.402695,-18.628624,-211.3248
2023-06-10 09:18:14.078849500,0.81170934,0.7286788000000001,-0.32117540000000006,1.851004,0.9603218000000001,1.550351,,,1,0,0,0,0,-81.73177,-25.394061999999998,-215.36705
2023-06-10 09:18:14.578849500,0.84765226,0.5019045999999999,-0.33616883,-1.8125284,-0.39561352,-1.1356801,,1.19,1,0,0,0,0,-80.987465,-30.741071999999996,-214.74877999999998
2023-06-10 09:18:15.078849500,1.1140908999999999,0.56164455,-0.45204318,1.7077183,0.6871018,1.128563,,,1,0,0,0,0,-81.73068,-26.054302,-216.8549
2023-06-10 09:18:15.578849500,0.88974947,0.576214,-0.22359437,-0.8659485,-0.01790964,-1.5328137,,1.38,1,0,0,0,0,-83.9804,-37.85566,-206.78296
2023-06-10 09:18:16.078849500,1.200925,0.6176706,-0.3163617,0.65054154,0.46277764,0.96003723,,,1,0,0,0,0,-86.35858,-14.895495,-209.6579
2023-06-10 09:18:16.578849500,0.7542494000000001,0.7505584,-0.2554072,-0.38618883,0.010941608,-0.73369795,,1.53,1,0,0,0,0,-87.32583000000001,-42.32391,-202.6666
2023-06-10 09:18:17.078849500,1.2606357,0.42535767,-0.32509124,0.1904666,-0.12844084,-0.14918102,,,1,0,0,0,0,-88.79744000000001,-12.143538000000001,-214.22556
2023-06-10 09:18:17.578849500,0.7349880999999999,0.69360566,-0.23842347,-0.3513226,0.27293885,1.8204153000000003,81.0,1.53,1,0,0,0,0,-92.80442,-53.917763,-207.07613
2023-06-10 09:18:18.078849500,1.0907288,0.41244227,-0.4296906,-2.0811682,0.32312205,-1.5724537,,,1,0,0,0,0,-84.38168,-36.58783,-225.09302000000002
2023-06-10 09:18:18.578849500,0.96467894,0.5898224,-0.03384613,1.0570582,0.8502791,1.8066255,80.0,1.53,1,0,0,0,0,-85.36166999999999,-37.6788,-217.37297
2023-06-10 09:18:19.078849500,0.854718,0.67818695,-0.12705475,-2.0970961999999997,-1.2051572,-2.1288702,,,1,0,0,0,0,-87.08834,-35.93453,-222.15034
2023-06-10 09:18:19.578849500,1.1163548,0.83714825,-0.14948507,1.1809473999999998,0.30906412,1.7218442999999999,,0.44,1,0,0,0,0,-91.33866,-23.548191,-232.60862999999998
2023-06-10 09:18:20.078849500,0.8405898999999999,0.7575092,-0.12307556,-1.1763746000000002,-0.4191834,-1.6666883000000001,,,1,0,0,0,0,-91.73068,-38.070457,-231.26522999999997
2023-06-10 09:18:20.578849500,0.93992066,0.7864053000000001,-0.20572692,0.25096217,0.56297994,0.15015419,,0.0,1,0,0,0,0,-103.25279,-6.2021375,-236.00017999999997
2023-06-10 09:18:21.078849500,0.5917125,0.88813,-0.10690868,0.17680004,0.30276248,0.49002564,,,1,0,0,0,0,-91.973145,-38.502686,-232.57599
