,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,pca_1,pca_2,pca_3,pca_4
2023-06-10 09:18:01.078849500,0.07670085779171835,-0.4011366942769694,-0.9032024514765277,0.03692796702791666,0.05412109850696696,0.018272520094615764,82.0,0.24,0,0,0,0,0,-105.70462355445665,-61.0913500125647,-254.07347318319418,0.47917049489823293,-0.343091246111103,-0.31373987979048834,-0.12252491159016354
2023-06-10 09:18:01.578849500,0.07564725902361756,-0.4519427004684033,-0.8837727520802905,0.04095659698387573,0.0006178949977659772,0.014754564885797416,82.0,0.24,0,0,0,0,0,-105.5937977191351,-63.07590865845276,-252.49482615937097,0.4978974069749207,-0.337589610710613,-0.31268397658539204,-0.13276727173107147
2023-06-10 09:18:02.078849500,0.07967599884565485,-0.4703925990114977,-0.8800773166047071,0.019107851716502214,-0.012724736293877733,0.013109013447886744,81.5,0.24,0,0,0,0,0,-105.54135893551981,-63.735208723308666,-251.88992636555687,0.5034926712115563,-0.3379063904457731,-0.31549458209961156,-0.13916443572968412
2023-06-10 09:18:02.578849500,0.07931729739584793,-0.45595686864151475,-0.8917050439365503,-0.011711008006093185,-0.012364034912293122,0.0066497625940191785,81.0,0.24,0,0,0,0,0,-105.80704300511579,-63.21507984093251,-252.4076874823898,0.49842798869981436,-0.34342943860214054,-0.31686781579426065,-0.13955074211477148
2023-06-10 09:18:03.078849500,0.060733841099546645,-0.43711927088783803,-0.903083106973357,-0.013829762247910535,-0.0342558312316744,-0.007398343306635243,80.5,0.12,1,0,0,0,0,-106.539023803251,-62.69792832874646,-253.30176731488206,0.49393362917855443,-0.36186532894498935,-0.31290372263728816,-0.13132870817304576
2023-06-10 09:18:03.578849500,0.03104743398691479,-0.4399041606090702,-0.9002827185294082,0.020352461291073348,-0.04806987566342847,-0.015238382067172642,80.0,0.0,1,0,0,0,0,-107.3289426590522,-62.89461964033816,-253.60743952452077,0.4963341937713757,-0.37939982414517603,-0.30450446586354035,-0.127979616252662
2023-06-10 09:18:04.078849500,0.020696421022471864,-0.4649509338583367,-0.8853169060551008,0.058080405603134835,-0.008911918736047107,-0.009040762780571624,79.5,0.0,1,0,0,0,0,-107.47558812831053,-63.529996415303536,-252.98960183123157,0.5023778524720292,-0.3813779627553558,-0.30132823231540856,-0.13638594979908866
2023-06-10 09:18:04.578849500,0.04512989944085423,-0.4935128254859172,-0.8708439203158473,0.0656787282745715,0.04147539717583196,-0.005757244055839117,79.0,0.0,1,0,0,0,0,-106.94020493418274,-64.1880349189827,-252.01664204313602,0.5073233800135756,-0.3765141335485881,-0.3104207276854436,-0.1430712565160168
2023-06-10 09:18:05.078849500,0.07128684510859848,-0.510075065529044,-0.8623604296872289,0.04510462275226495,0.0185004089711818,-0.013902001032318973,78.5,0.0,1,0,0,0,0,-106.71100864526159,-64.94509070175829,-251.52379554800518,0.5109699601358836,-0.3730706432247295,-0.31934852782817424,-0.14845188090702804
2023-06-10 09:18:05.578849500,0.05023130990043557,-0.5176745321924155,-0.8527018212872103,0.024935524233466348,-0.04966805476251097,0.004064351605230915,78.0,0.0,1,0,0,0,0,-107.68212673130073,-65.92549241204465,-251.62187366173723,0.5163199448464512,-0.379399267052702,-0.30991820238847,-0.1566186071059531
2023-06-10 09:18:06.078849500,-0.005931125997113626,-0.5310418941277846,-0.8364709211111826,0.013249525661142604,-0.00902846054596696,0.08982418466947605,77.5,0.0,1,0,0,0,0,-109.19715584348032,-66.79828582261766,-251.5053556241765,0.5233281209821904,-0.39145771580431626,-0.28683846103202754,-0.16814104755415374
2023-06-10 09:18:06.578849500,-0.0062176891822918945,-0.549895727069052,-0.820933668717016,-0.03612669606393653,0.22024254194866855,0.20329789487164954,77.0,0.0,1,0,0,0,0,-109.26823881044217,-67.12078638703407,-250.42958488180514,0.5250740700227405,-0.3922458520353248,-0.28363707594443216,-0.17593011866920147
2023-06-10 09:18:07.078849500,0.13058138698023344,-0.53707993985258,-0.8134550077529105,-0.18367337999165417,0.5031478711606078,0.22824377353070874,76.5,0.0,1,0,0,0,0,-106.48170447023293,-66.71398884345557,-248.61167404157965,0.5068766262744483,-0.3675341623078537,-0.3292396755885631,-0.1693415731504388
