,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:18:01.078849500,0.08336075,-0.42931703,-0.89532137,0.10788316,0.039950382,0.015963214,82.0,0,0,0,0,0,-105.47794,-62.162567,-253.115
2023-06-10 09:18:02.078849500,0.072440565,-0.45940346,-0.8862323,-0.046573978,-0.03483903,0.0031896161,81.0,0,0,0,0,0,-105.8619,-63.3735,-252.40073
2023-06-10 09:18:03.078849500,0.053873543,-0.44127062,-0.8991567,0.033756543,-0.01843703,-0.009411576,80.0,1,0,0,0,0,-106.6482,-62.891052,-253.13002
2023-06-10 09:18:04.078849500,0.027636109,-0.47671783,-0.8817613,0.030331789,0.004202367,-0.0010486353,79.0,1,0,0,0,0,-107.51192,-63.758682,-252.79399
2023-06-10 09:18:05.078849500,0.06477171,-0.52438897,-0.8441614,0.06835726,0.046850797,0.0013100688,78.0,1,0,0,0,0,-106.90642,-65.6957,-251.10469
2023-06-10 09:18:06.078849500,-0.007738672,-0.5181122,-0.8584931,-0.006346566,0.08375966,0.1331674,77.0,1,0,0,0,0,-109.394165,-66.563354,-251.5074
2023-06-10 09:18:07.078849500,0.25787354,-0.47416365,-0.77746415,-0.37750524,0.59924775,0.271227,76.0,1,0,0,0,0,-103.66347,-65.79661,-247.61043
2023-06-10 09:18:08.078849500,0.64326555,-0.12036256,-0.68770313,-0.13343059,0.35908145,-0.20532796,76.0,1,0,0,0,0,-93.697044,-60.176754,-242.28569
2023-06-10 09:18:09.078849500,0.8486416,0.36147624,-0.6392924,0.3744999,0.43814284,-0.11621901,76.0,1,0,0,0,0,-82.41677,-41.309177,-233.08255
2023-06-10 09:18:10.078849500,0.95453125,0.42225188,-0.46393204,0.168096,0.24401864,-0.15712552,76.0,1,0,0,0,0,-79.8357,-32.697266,-220.62656
2023-06-10 09:18:11.078849500,1.0259709,0.42779848,-0.27828932,-0.041271675,0.29730785,-0.27107742,76.71428571428571,1,0,0,0,0,-81.85649,-30.752878,-207.67026
