,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,acc_x_lof,acc_y_lof,acc_z_lof,gyr_x_lof,gyr_y_lof,gyr_z_lof,hr_bpm_lof,mag_x_lof,mag_y_lof,mag_z_lof,loc_speed_lof
2023-06-10 09:18:01.078849500,0.08336075,-0.42931703,-0.89532137,0.10788316,0.039950382,0.015963214,82.0,-0.06999999,0,0,0,0,0,-105.47794,-62.162567,-253.115,1.6226479328677654,0.9969348556544799,1.1276389040709416,0.9541513238464547,1.028157317264675,1.038486829886674,1.0,1.370393942202285,1.1282584295094271,1.1884395841963507,82.64809846878052
2023-06-10 09:18:02.078849500,0.072440565,-0.45940346,-0.8862323,-0.046573978,-0.03483903,0.0031896161,,0.24,0,0,0,0,0,-105.8619,-63.3735,-252.40073,1.0815701627807737,0.9959424763274369,0.9275137560508463,1.093311121257523,1.063413425994934,0.970147953821286,,1.4696697869064466,1.107679644906597,0.943227915224157,1.2809885643431604
2023-06-10 09:18:03.078849500,0.053873543,-0.44127062,-0.8991567,0.033756543,-0.01843703,-0.009411576,,0.0,1,0,0,0,0,-106.6482,-62.891052,-253.13002,1.0690742625228957,1.0873615559980185,0.9175470464691867,0.9005934629184802,1.0534047061819887,1.0197831901412489,,0.9351430980759008,1.0615883694175607,1.3232981560341008,1.0
2023-06-10 09:18:04.078849500,0.027636109,-0.47671783,-0.8817613,0.030331789,0.004202367,-0.0010486353,,0.0,1,0,0,0,0,-107.51192,-63.758682,-252.79399,1.0121667789771869,1.111798828930977,0.946876506436773,0.9047512398045681,1.0751054614420037,0.9141926344032257,,1.1520361558296777,0.9915376414673593,2.018604870192416,1.0
2023-06-10 09:18:05.078849500,0.06477171,-0.52438897,-0.8441614,0.06835726,0.046850797,0.0013100688,,0.0,1,0,0,0,0,-106.90642,-65.6957,-251.10469,0.9636406850487116,1.3019863969022845,1.3884455127149584,1.0113595576048948,1.302294065049447,0.9898652433903519,,0.9631723094353097,1.1073926045241502,1.1758477391585287,1.0
2023-06-10 09:18:06.078849500,-0.007738672,-0.5181122,-0.8584931,-0.006346566,0.08375966,0.1331674,,0.0,1,0,0,0,0,-109.394165,-66.563354,-251.5074,1.0463325557836893,1.1194801022947884,1.6979227618490347,1.093659887273892,0.9992981009680332,1.1736138373224583,,1.0336688541144152,1.0978978468618044,1.9416284982779137,1.0
2023-06-10 09:18:07.078849500,0.25787354,-0.47416365,-0.77746415,-0.37750524,0.59924775,0.271227,76.0,0.0,1,0,0,0,0,-103.66347,-65.79661,-247.61043,1.03362017875265,0.977370545347124,0.9808438063204609,1.0557566661057702,0.9554999434228035,0.9837384646129798,1.0,0.9952713437126337,0.9509814441734504,0.9615495210655449,1.0
2023-06-10 09:18:08.078849500,0.64326555,-0.12036256,-0.68770313,-0.13343059,0.35908145,-0.20532796,,0.27,1,0,0,0,0,-93.697044,-60.176754,-242.28569,1.0790456551226468,0.8779344518895007,1.0024429756950881,1.0079452001259348,1.0116547610273163,1.3726108872176712,,1.0766725342434578,1.1230571096500426,1.0783701766201736,1.002788703421193
2023-06-10 09:18:09.078849500,0.8486416,0.36147624,-0.6392924,0.3744999,0.43814284,-0.11621901,,0.91,1,0,0,0,0,-82.41677,-41.309177,-233.08255,0.894412119199229,0.9606392032293742,0.9739451261911913,0.9884072315458216,1.4114685074627242,1.0010054803197255,,0.9802488695312098,0.9597935218036173,0.8579326281016344,0.9587940009607916
2023-06-10 09:18:10.078849500,0.95453125,0.42225188,-0.46393204,0.168096,0.24401864,-0.15712552,76.0,0.91,1,0,0,0,0,-79.8357,-32.697266,-220.62656,0.98560281445387,1.027537674475255,0.9314073995311696,1.0732203449287128,1.4025657142997519,1.309930932481329,1.0,1.2728727771302224,1.0878315258481666,1.190728295670119,0.9587940009607916
2023-06-10 09:18:11.078849500,1.0259709,0.42779848,-0.27828932,-0.041271675,0.29730785,-0.27107742,,0.82,1,0,0,0,0,-81.85649,-30.752878,-207.67026,0.9226683941614183,1.0462295013919927,0.986872176894824,1.004108410181931,1.067005088425812,1.079708404181511,,0.9677002262730552,1.4338189748626824,1.7264859983163217,0.9881118263363288
2023-06-10 09:18:12.078849500,0.9838334,0.43791583,-0.20589855,-0.1400043,-0.15515794,-0.4548615,,0.82,1,0,0,0,0,-86.23972,-24.597908,-200.87918,0.9266073783824678,0.9665162823807105,1.1272329920509252,1.1298340962295403,1.42608449569319,0.9922110964462927,,1.430169959250711,1.0675122358427052,1.4491856301710269,0.9881118263363288
2023-06-10 09:18:13.078849500,0.9047659,0.530592,-0.29029435,-0.5241968,-0.26193246,-0.29489458,,1.19,1,0,0,0,0,-83.55902,-26.87943,-206.39775,1.2190140107808525,0.9980899509476627,0.9368031274616513,0.982988802112326,1.0709024863462613,1.0392625568087719,,0.9935306254391827,0.9933759956354642,1.008349882848702,0.9043469836311396
2023-06-10 09:18:14.078849500,0.82986236,0.61414635,-0.32874784,0.0007351379,0.27550596,0.19376966,,1.19,1,0,0,0,0,-81.35962,-28.067566,-215.0579,1.0917162114803678,1.0978087357391437,1.106287648352086,1.1275041895776392,0.9180685709662275,1.0113969240434884,,1.0315407470823,1.0148792748447777,0.9793165952590706,0.9043469836311396
